This CSV provides information about the species in the NOAA CSL Inventory. There are some oddities that this sheet hopes to address.
Data for the NC files is downloaded from https://csl.noaa.gov/groups/csl7/measurements/2020covid-aqs/emissions/. There are a variety of species in these
NC files that are meant to correspond with one of the SAPRC mechanisms. Colin Harkins of NOAA stated that the naming conventions are more based on SAPRC99 than 
Other versions. However, the names, molecular weights, and existence of species is not uniform across SAPRC99 and SAPRC22 (most recent). This csv hopefully
Addresses that. 

Column descriptions below
NC_name: The name of the species in the NOAA CSL Inventory NC files
Readme_name: This is the mapping of NC_name to an SAPRC name as defined in https://csl.noaa.gov/groups/csl7/measurements/2020covid-aqs/data/emissions/FIVE/README.txt. However, not all these names correspond directly to SAPRC99 species
NC_unit: The unit in the attributes of the NC files for that species
NC_description: The description of the species in the NC files. These seem to match most closely with the SAPRC99 descriptions, but there are some differences
Known_MW: If the molecular weight is not in question (such as for trace gasses), there will be a value here and can be taken as "truth"
SAPRC99_Name: If there is an SAPRC99 species matching the name in the readme (or should obviously be matching based on description), this is the name of that species in the MechDB.xls, sheet SAPRC99, from https://intra.engr.ucr.edu/~carter/emitdb/
SAPRC99_MW: If there is an SAPRC99 species matching, this is the molecular weight in the MechDB.xls sheet
SAPRC99_Description: If there is an SAPRC99 species matching, this is the description of that species in the MechDB.xls sheet
SAPRC22_Name: If there is an SAPRC22 species matching the name in the readme (or should obviously be matching based on description), this is the name of that species in the MechDB.xls, sheet SAPRC22, from https://intra.engr.ucr.edu/~carter/emitdb/
SAPRC22_MW: If there is an SAPRC22 species matching, this is the molecular weight in the MechDB.xls sheet
SAPRC22_Description: If there is an SAPRC22 species matching, this is the description of that species in the MechDB.xls sheet

NC_name,Readme_name,NC_unit,NC_description,Known_MW,SAPRC99_Name,SAPRC99_MW,SAPRC99_Description,SAPRC22_Name,SAPRC22_MW,SAPRC22_Description, 
HC35,NVOL,mole hr^-1 gridcell^-1,NonVolatile Compounds,,NVOL,1,Nonvolatile mass,NVOL,1,Nonvolatile mass, 
HC36,PROPYLENE,mole hr^-1 gridcell^-1,Propylene,,,,,PROPE,42.08,Propene, 
HC37,ACETYLENE,mole hr^-1 gridcell^-1,Acetylene,,,,,ACETL,26.04,Acetylene, 
HC38,BENZENE,mole hr^-1 gridcell^-1,Benzene,,BENZENE,78.11,Benzene (added for CMAQ),BENZ,78.11,Benzene, 
HC39,BUTANES,mole hr^-1 gridcell^-1,Butanes,,,,,,,, 
HC40,PENTANES,mole hr^-1 gridcell^-1,Pentanes,,,,,,,, 
HC41,TOLUENE,mole hr^-1 gridcell^-1,Toluene,,,,,TOLU,92.14,Toluene, 
HC42,M-XYLENE,mole hr^-1 gridcell^-1,m-Xylene,,,,,MXYL,106.17,m-Xylene, 
HC43,O-XYLENE,mole hr^-1 gridcell^-1,o-Xylene,,,,,OXYL,106.17,o-Xylene, 
HC44,P-XYLENE,mole hr^-1 gridcell^-1,p-Xylene,,,,,PXYL,106.17,p-Xylene, 
HC45,PROPANE,mole hr^-1 gridcell^-1,Propane,,,,,PROP,44.1,Propane, 
HC46,DIENES,mole hr^-1 gridcell^-1,Dienes,,,,,,,, 
HC47,STYRENES,mole hr^-1 gridcell^-1,Styrenes,,,,,STYRS,104.15,Styrenes, 
HC48,ETHANOL,mole hr^-1 gridcell^-1,Ethanol,,,,,ETOH,46.07,Ethanol, 
HC49,ETEG,mole hr^-1 gridcell^-1,Ethylene Glycol,,,,,,,, 
HC50,UCM,mole hr^-1 gridcell^-1,Unidentified_Unknown VOC,,,,,,,, 
HC51,,mole hr^-1 gridcell^-1,Isopropyl Alcohol (OVCP),,,,,,,, 
HC52,,mole hr^-1 gridcell^-1,Propylene Glycol (OVCP),,,,,,,, 
HC53,,mole hr^-1 gridcell^-1,Glycerol (OVCP),,,,,,,, 
HC54,,mole hr^-1 gridcell^-1,D4-Siloxane,,,,,,,, 
HC55,,mole hr^-1 gridcell^-1,D5-Siloxane,,,,,,,, 
HC56,,mole hr^-1 gridcell^-1,Other Siloxane,,,,,,,, 
HC57,,mole hr^-1 gridcell^-1,NROG,,NROG,1,Unreactive mass,NROG,1,Unreactive mass, 
HC58,,mole hr^-1 gridcell^-1,PCBTF,,,,,,,, 
HC59,,mole hr^-1 gridcell^-1,PDCBZ,,,,,,,, 
HC60,,mole hr^-1 gridcell^-1,Propanal,,,,,,,, 
HC61,,mole hr^-1 gridcell^-1,Butanal,,,,,,,, 
HC62,,mole hr^-1 gridcell^-1,Pentanal,,,,,,,, 
HC63,,mole hr^-1 gridcell^-1,Hexanal,,,,,,,, 
HC64,,mole hr^-1 gridcell^-1,Heptanal,,,,,,,, 
HC65,,mole hr^-1 gridcell^-1,Octanal,,,,,,,, 
HC66,,mole hr^-1 gridcell^-1,Nonanal,,,,,,,, 
HC67,,mole hr^-1 gridcell^-1,Unsaturated Aldehydes,,,,,,,, 
HC68,,mole hr^-1 gridcell^-1,C10+ Aldehydes,,,,,,,, 
NH3,,metric_Ton hr^-1 gridcell^-1,Ammonia,17.031,,,,,,, 
NOX,,metric_Ton(NO2 equiv) hr^-1 gridcell^-1,Nitrous Oxides,46.0055,,,,,,, 
PM01,,metric_Ton hr^-1 gridcell^-1,Nonspeciated Primary PM2.5 (sum of PM08-PM19),,,,,,,, 
PM02,,metric_Ton hr^-1 gridcell^-1,Sulfate PM2.5,,,,,,,, 
PM03,,metric_Ton hr^-1 gridcell^-1,Nitrate PM2.5,,,,,,,, 
PM04,,metric_Ton hr^-1 gridcell^-1,Organic Carbon PM2.5,,,,,,,, 
PM05,,metric_Ton hr^-1 gridcell^-1,Elemental Carbon PM2.5,,,,,,,, 
PM06,,metric_Ton hr^-1 gridcell^-1,Non-Carbon Organic PM2.5,,,,,,,, 
PM07,,metric_Ton hr^-1 gridcell^-1,Ammonium PM2.5,,,,,,,, 
PM08,,metric_Ton hr^-1 gridcell^-1,Aluminum PM2.5,,,,,,,, 
PM09,,metric_Ton hr^-1 gridcell^-1,Calcium PM2.5,,,,,,,, 
PM10,,metric_Ton hr^-1 gridcell^-1,Iron PM2.5,,,,,,,, 
PM10-PRI,,metric_Ton hr^-1 gridcell^-1,FIVE emission,,,,,,,, 
PM11,,metric_Ton hr^-1 gridcell^-1,Water PM2.5,,,,,,,, 
PM12,,metric_Ton hr^-1 gridcell^-1,Magnesium PM2.5,,,,,,,, 
PM13,,metric_Ton hr^-1 gridcell^-1,Other PM2.5,,,,,,,, 
PM14,,metric_Ton hr^-1 gridcell^-1,Potasium PM2.5,,,,,,,, 
PM15,,metric_Ton hr^-1 gridcell^-1,Manganese PM2.5,,,,,,,, 
PM16,,metric_Ton hr^-1 gridcell^-1,Chloride PM2.5,,,,,,,, 
PM17,,metric_Ton hr^-1 gridcell^-1,Sodium PM2.5,,,,,,,, 
PM18,,metric_Ton hr^-1 gridcell^-1,Titanium PM2.5,,,,,,,, 
PM19,,metric_Ton hr^-1 gridcell^-1,Silicon PM2.5,,,,,,,, 
PM25-PRI,,metric_Ton hr^-1 gridcell^-1,FIVE emission,,,,,,,, 
SO2,,metric_Ton hr^-1 gridcell^-1,Sulfur Dioxide,64.066,,,,,,, 
VOC,,metric_Ton hr^-1 gridcell^-1,Volatile organic compounds,,,,,,,, 
